dataset,loss,degree_n,max_error
sin(10x),huber,1,1.100199580192566
sin(10x),huber,2,1.100199580192566
sin(10x),huber,3,1.0141212940216064
sin(10x),huber,4,1.014121413230896
sin(10x),huber,5,1.1988946199417114
sin(10x),huber,6,1.1988946199417114
sin(10x),huber,7,0.871973991394043
sin(10x),huber,8,0.8719851970672607
sin(10x),huber,9,0.3669581413269043
sin(10x),huber,10,0.3668971061706543
sin(10x),huber,11,0.07896006107330322
sin(10x),huber,12,0.07883462309837341
sin(10x),huber,13,0.014239907264709473
sin(10x),huber,14,0.014052748680114746
sin(10x),huber,15,0.035485804080963135
sin(10x),huber,16,0.03520116209983826
sin(10x),huber,17,0.06134378910064697
sin(10x),huber,18,0.06114542484283447
sin(10x),huber,19,0.015469580888748169
sin(10x),huber,20,0.01498955488204956
sin(10x),huber,21,0.025622129440307617
sin(10x),huber,22,0.025717109441757202
sin(10x),huber,23,0.03822547197341919
sin(10x),huber,24,0.03813013434410095
sin(10x),huber,25,0.0524505078792572
sin(10x),huber,26,0.0528930127620697
sin(10x),huber,27,0.014669924974441528
sin(10x),huber,28,0.015113651752471924
sin(10x),huber,29,0.021404802799224854
sin(10x),huber,30,0.021542131900787354
Runge function,huber,1,0.9387384057044983
Runge function,huber,2,0.8684473633766174
Runge function,huber,3,0.8684473633766174
Runge function,huber,4,0.8026030659675598
Runge function,huber,5,0.8026031851768494
Runge function,huber,6,0.7415045499801636
Runge function,huber,7,0.7415045499801636
Runge function,huber,8,0.6849076747894287
Runge function,huber,9,0.6849068999290466
Runge function,huber,10,0.6324991583824158
Runge function,huber,11,0.632504940032959
Runge function,huber,12,0.5839711427688599
Runge function,huber,13,0.5839303731918335
Runge function,huber,14,0.6012715697288513
Runge function,huber,15,0.6012724041938782
Runge function,huber,16,0.5551928281784058
Runge function,huber,17,0.5552102327346802
Runge function,huber,18,0.5687821507453918
Runge function,huber,19,0.5688295960426331
Runge function,huber,20,0.5803633332252502
Runge function,huber,21,0.5803483724594116
Runge function,huber,22,0.536540150642395
Runge function,huber,23,0.5366939306259155
Runge function,huber,24,0.546431303024292
Runge function,huber,25,0.5464280843734741
Runge function,huber,26,0.5550416111946106
Runge function,huber,27,0.5549761056900024
Runge function,huber,28,0.562806248664856
Runge function,huber,29,0.5628284215927124
Runge function,huber,30,0.5697721242904663
Heaviside step function,huber,1,0.49925678968429565
Heaviside step function,huber,2,0.49925678968429565
Heaviside step function,huber,3,0.49860596656799316
Heaviside step function,huber,4,0.49860620498657227
Heaviside step function,huber,5,0.49796634912490845
Heaviside step function,huber,6,0.49796611070632935
Heaviside step function,huber,7,0.4973286986351013
Heaviside step function,huber,8,0.49732857942581177
Heaviside step function,huber,9,0.49669456481933594
Heaviside step function,huber,10,0.49669134616851807
Heaviside step function,huber,11,0.4960589110851288
Heaviside step function,huber,12,0.49606555700302124
Heaviside step function,huber,13,0.4954296946525574
Heaviside step function,huber,14,0.49542081356048584
Heaviside step function,huber,15,0.4956631064414978
Heaviside step function,huber,16,0.4956655502319336
Heaviside step function,huber,17,0.4958510994911194
Heaviside step function,huber,18,0.4958566427230835
Heaviside step function,huber,19,0.49527257680892944
Heaviside step function,huber,20,0.4953033924102783
Heaviside step function,huber,21,0.4954005479812622
Heaviside step function,huber,22,0.4953886866569519
Heaviside step function,huber,23,0.495525062084198
Heaviside step function,huber,24,0.4955371618270874
Heaviside step function,huber,25,0.4956824779510498
Heaviside step function,huber,26,0.49564942717552185
Heaviside step function,huber,27,0.4950379729270935
Heaviside step function,huber,28,0.49506548047065735
Heaviside step function,huber,29,0.495148241519928
Heaviside step function,huber,30,0.4951559901237488
sin(10x),lp,1,1.1162965297698975
sin(10x),lp,2,1.1162965297698975
sin(10x),lp,3,1.0245215892791748
sin(10x),lp,4,1.0245215892791748
sin(10x),lp,5,1.2856841087341309
sin(10x),lp,6,1.2856833934783936
sin(10x),lp,7,1.0029935836791992
sin(10x),lp,8,1.002943754196167
sin(10x),lp,9,0.5101618766784668
sin(10x),lp,10,0.5101771354675293
sin(10x),lp,11,0.09873199462890625
sin(10x),lp,12,0.09874045848846436
sin(10x),lp,13,0.016514122486114502
sin(10x),lp,14,0.017286688089370728
sin(10x),lp,15,0.04234886169433594
sin(10x),lp,16,0.041636139154434204
sin(10x),lp,17,0.07381021976470947
sin(10x),lp,18,0.07358133792877197
sin(10x),lp,19,0.017157316207885742
sin(10x),lp,20,0.016804784536361694
sin(10x),lp,21,0.030798286199569702
sin(10x),lp,22,0.030325263738632202
sin(10x),lp,23,0.0481986403465271
sin(10x),lp,24,0.04781520366668701
sin(10x),lp,25,0.0699981153011322
sin(10x),lp,26,0.0697234570980072
sin(10x),lp,27,0.01942211389541626
sin(10x),lp,28,0.09090808033943176
sin(10x),lp,29,0.025387346744537354
sin(10x),lp,30,0.025402605533599854
Runge function,lp,1,0.9778009057044983
Runge function,lp,2,0.9388130903244019
Runge function,lp,3,0.9388130903244019
Runge function,lp,4,0.8919439315795898
Runge function,lp,5,0.8919438719749451
Runge function,lp,6,0.8409144282341003
Runge function,lp,7,0.8409147262573242
Runge function,lp,8,0.7914385795593262
Runge function,lp,9,0.7914361357688904
Runge function,lp,10,0.7379589080810547
Runge function,lp,11,0.7379566431045532
Runge function,lp,12,0.6937831044197083
Runge function,lp,13,0.693774938583374
Runge function,lp,14,0.712823748588562
Runge function,lp,15,0.7128278613090515
Runge function,lp,16,0.6591622829437256
Runge function,lp,17,0.65919029712677
Runge function,lp,18,0.6752275228500366
Runge function,lp,19,0.6752386093139648
Runge function,lp,20,0.6890815496444702
Runge function,lp,21,0.6890647411346436
Runge function,lp,22,0.6537254452705383
Runge function,lp,23,0.6682902574539185
Runge function,lp,24,0.6474771499633789
Runge function,lp,25,0.6474330425262451
Runge function,lp,26,0.6585814952850342
Runge function,lp,27,0.6585912108421326
Runge function,lp,28,0.6676551103591919
Runge function,lp,29,0.6676198244094849
Runge function,lp,30,0.6758723258972168
Heaviside step function,lp,1,0.49927645921707153
Heaviside step function,lp,2,0.49927639961242676
Heaviside step function,lp,3,0.49869483709335327
Heaviside step function,lp,4,0.49869465827941895
Heaviside step function,lp,5,0.4981344938278198
Heaviside step function,lp,6,0.49813538789749146
Heaviside step function,lp,7,0.49757522344589233
Heaviside step function,lp,8,0.49757522344589233
Heaviside step function,lp,9,0.49703094363212585
Heaviside step function,lp,10,0.49702873826026917
Heaviside step function,lp,11,0.4964837431907654
Heaviside step function,lp,12,0.4964708089828491
Heaviside step function,lp,13,0.4959186017513275
Heaviside step function,lp,14,0.4959561824798584
Heaviside step function,lp,15,0.4961421489715576
Heaviside step function,lp,16,0.49614331126213074
Heaviside step function,lp,17,0.49630671739578247
Heaviside step function,lp,18,0.4963066577911377
Heaviside step function,lp,19,0.49578386545181274
Heaviside step function,lp,20,0.49580806493759155
Heaviside step function,lp,21,0.4958750307559967
Heaviside step function,lp,22,0.4958800971508026
Heaviside step function,lp,23,0.49602237343788147
Heaviside step function,lp,24,0.49602097272872925
Heaviside step function,lp,25,0.4961215853691101
Heaviside step function,lp,26,0.49612656235694885
Heaviside step function,lp,27,0.4962169826030731
Heaviside step function,lp,28,0.49621787667274475
Heaviside step function,lp,29,0.4957098364830017
Heaviside step function,lp,30,0.49575018882751465
